id,focus,signal,slack,drag,confidence,score,lane
l001,failure width,35,33,6,25,219,ship
l002,recovery gap,35,34,6,55,251,ship
l003,runbook drift,35,35,6,85,283,ship
l004,budget pressure,35,36,18,25,201,ship
l005,failure width,35,37,18,55,233,ship
l006,recovery gap,35,38,18,85,265,ship
l007,runbook drift,35,39,34,25,175,ship
l008,budget pressure,35,40,34,55,207,ship
l009,failure width,35,41,34,85,239,ship
l010,recovery gap,60,42,6,25,337,ship
l011,runbook drift,60,43,6,55,369,ship
l012,budget pressure,60,44,6,85,401,ship
l013,failure width,60,45,18,25,319,ship
l014,recovery gap,60,46,18,55,351,ship
l015,runbook drift,60,47,18,85,383,ship
l016,budget pressure,60,48,34,25,293,ship
l017,failure width,60,32,34,55,291,ship
l018,recovery gap,60,33,34,85,323,ship
l019,runbook drift,85,34,6,25,421,ship
l020,budget pressure,85,35,6,55,453,ship
l021,failure width,85,36,6,85,485,ship
l022,recovery gap,85,37,18,25,403,ship
l023,runbook drift,85,38,18,55,435,ship
l024,budget pressure,85,39,18,85,467,ship
l025,failure width,85,40,34,25,377,ship
l026,recovery gap,85,41,34,55,409,ship
l027,runbook drift,85,42,34,85,441,ship
